St/Dis,Prefix,FirstName,MiddleName,LastName,Suffix,WEBSITE,District Address Line 1,District Address Line 2,Distrcit Address Line 3,District Phone,DC Address,City,State,Zip+4,BioguideID,Party
CA03,The Honorable,John,,Garamendi,,http://garamendi.house.gov/,412 G Street,"Davis, CA 95616",,530-753-5301,2438 Rayburn House Office Building,Washington,DC,20515-0503,G000559,D
CA04,The Honorable,Tom,,McClintock,,http://mcclintock.house.gov/,2200A Douglas Blvd,Suite 240,"Roseville, CA 95661",916-786-5560,2331 Rayburn House Office Building,Washington,DC,20515-0504,M001177,R
CA05,The Honorable,Mike,,Thompson,,http://mikethompson.house.gov/,2721 Napa Valley Corporate Drive,"Napa, CA 94558",,(707) 226-9898,231 Cannon House Office Building,Washington,DC,20515-0505,T000460,D
CA06,The Honorable,Doris,O.,Matsui,,https://matsui.house.gov/,501 I Street,"Robert T. Matsui U.S. Courthouse, Suite 12-600","Sacramento, CA 95814-7305",(916) 498-5600,2311 Rayburn House Office Building,Washington,DC,20515-0506,M001163,D
CA07,The Honorable,Ami,,Bera,,http://bera.house.gov/,8950 Cal Center Drive,"Building 3, Suite 100","Sacramento, CA 95826",(916) 635-0505,1535 Longworth House Office Building,Washington,DC,20515-0507,B001287,D
CA08,The Honorable,Paul,,Cook,,http://cook.house.gov/,14955 Dale Evans Parkway,Apple Valley Town Hall,"Apple Valley, CA 92307",760.247.1815,1222 Longworth House Office Building,Washington,DC,20515-0508,C001094,R
CA09,The Honorable,Jerry,,McNerney,,http://mcnerney.house.gov/,Antioch Community Center,4703 Lone Tree Way,"Antioch, CA 94531",(925) 754-0716,2265 Rayburn House Office Building,Washington,DC,20515-0509,M001166,D
CA10,The Honorable,Jeff,,Denham,,http://denham.house.gov/,4701 Sisk Road,Suite 202,"Modesto, CA 95356",(209) 579-5458,1730 Longworth House Office Building,Washington,DC,20515-0510,D000612,R
CA11,The Honorable,Mark,,DeSaulnier,,https://desaulnier.house.gov/,440 Civic Center Plaza,2nd Floor,"Richmond, CA 94804",(510) 620-1000,327 Cannon House Office Building,Washington,DC,20515-0511,D000623,D
CA12,The Honorable,Nancy,,Pelosi,,http://pelosi.house.gov/,90 7th Street,Suite 2-800,"San Francisco, CA 94103",(415) 556-4862,233 Cannon House Office Building,Washington,DC,20515-0512,P000197,D
CA13,The Honorable,Barbara,,Lee,,https://lee.house.gov/,1301 Clay Street,Ste. 1000-N,"Oakland, CA 94612",(510) 763-0370,2267 Rayburn House Office Building,Washington,DC,20515-0513,L000551,D
CA14,The Honorable,Jackie,,Speier,,https://speier.house.gov/,155 Bovet Rd,Suite 780,"San Mateo, CA 94402",(650) 342-0300,2465 Rayburn House Office Building,Washington,DC,20515-0514,S001175,D
CA15,The Honorable,Eric,,Swalwell,,https://swalwell.house.gov/,5075 Hopyard Road,Suite 220,"Pleasanton, CA 94588",(925) 460-5100,129 Cannon House Office Building,Washington,DC,20515-0515,S001193,D
CA16,The Honorable,Jim,,Costa,,https://costa.house.gov/contact/offices,855 M Street,Suite 940,"Fresno, CA 93721",559-495-1620,1314 Longworth House Office Building,Washington,DC,20515-0516,C001059,D
CA18,The Honorable,Anna,G.,Eshoo,,http://eshoo.house.gov/,698 Emerson Street,"Palo Alto, California 94301",,(650) 323-2984,241 Cannon House Office Building,Washington,DC,20515-0518,E000215,D
CA19,The Honorable,Zoe,,Lofgren,,https://lofgren.house.gov/contact/officeinformation.htm,635 North 1st Street,Suite B,"San Jose, CA 95112",(408) 271-8700,1401 Longworth House Office Building,Washington,DC,20515-0519,L000397,D
CA21,The Honorable,David,G.,Valadao,,http://valadao.house.gov/contact/officeinformation.htm,101 North Irwin Street,Suite 110B,"Hanford, California 93230",(559) 582-5526,1004 Longworth House Office Building,Washington,DC,20515-0521,V000129,R
CA22,The Honorable,Devin,,Nunes,,http://nunes.house.gov/contact/offices.htm,264 Clovis Avenue,Suite 206,"Clovis, CA 93612",(559) 323-5235,1013 Longworth House Office Building,Washington,DC,20515-0522,N000181,R
CA23,The Honorable,Kevin,,McCarthy,,http://kevinmccarthy.house.gov/contact/offices,4100 Empire Drive,Suite 150,"Bakersfield, CA 93309",(661) 327-3611,2421 Rayburn House Office Building,Washington,DC,20515-0523,M001165,R
CA25,The Honorable,Stephen,,Knight,,https://knight.house.gov/,1008 West Avenue M-14,Suite E,"Palmdale, CA 93551",(661) 441-0320,1023 Longworth House Office Building,Washington,DC,20515-0525,K000387,R
CA26,The Honorable,Julia,,Brownley,,http://juliabrownley.house.gov/,300 E. Esplanade Drive,Suite 470,"Oxnard, CA 93036",(805) 379-1779,1019 Longworth House Office Building,Washington,DC,20515-0526,B001285,D
CA27,The Honorable,Judy,,Chu,,https://chu.house.gov/,415 W. Foothill Blvd,Ste 122,"Claremont, CA 91711",(909) 625-5394,2423 Rayburn House Office Building,Washington,DC,20515-0527,C001080,D
CA28,The Honorable,Adam,B.,Schiff,,http://schiff.house.gov/,245 E. Olive Avenue,#200,"Burbank, California 91502",(323) 315-5555,2411 Rayburn House Office Building,Washington,DC,20515-0528,S001150,D
CA29,The Honorable,Tony,,Cárdenas,,https://cardenas.house.gov/,8134 Van Nuys Blvd.,Suite 206,"Panorama City, CA 91402",(818) 781-7407,1510 Longworth House Office Building,Washington,DC,20515-0529,C001097,D
CA30,The Honorable,Brad,,Sherman,,http://sherman.house.gov/,5000 Van Nuys Blvd,Suite 420,"Sherman Oaks, CA 91403",(818) 501-9200,2242 Rayburn House Office Building,Washington,DC,20515-0530,S000344,D
CA31,The Honorable,Pete,,Aguilar,,https://aguilar.house.gov/,685 E. Carnegie Drive,Suite 100,"San Bernardino, CA 92408",(909) 890-4445,1223 Longworth House Office Building,Washington,DC,20515-0531,A000371,D
CA32,The Honorable,Grace,F.,Napolitano,,http://napolitano.house.gov/,4401 Santa Anita Ave,Suite 201,"El Monte, CA 91731",626-350-0150,1610 Longworth House Office Building,Washington,DC,20515-0532,N000179,D
CA33,The Honorable,Ted,,Lieu,,https://lieu.house.gov/,5055 Wilshire Boulevard,Suite 310,"Los Angeles, CA 90036",(323) 651-1040,415 Cannon House Office Building,Washington,DC,20515-0533,L000582,D
CA34,The Honorable,Xavier,,Becerra,,https://becerra.house.gov/,350 South Bixel Street,Suite 120,"Los Angeles, CA 90017",213-481-1425,1226 Longworth House Office Building,Washington,DC,20515-0534,B000287,D
CA35,The Honorable,Norma,J.,Torres,,https://torres.house.gov/,3200 Inland Empire Blvd.,Suite 200B,"Ontario, CA 91764",(909) 481-6474,516 Cannon House Office Building,Washington,DC,20515-0535,T000474,D
CA36,The Honorable,Raul,,Ruiz,,https://ruiz.house.gov/,445 East Florida Ave,2nd Floor,"Hemet, CA 92543",951-765-2304,1319 Longworth House Office Building,Washington,DC,20515-0536,R000599,D
CA37,The Honorable,Karen,,Bass,,https://bass.house.gov/,4929 Wilshire Blvd,Suite 650,"Los Angeles, CA , CA 90010",(323) 965-1422,408 Cannon House Office Building,Washington,DC,20515-0537,B001270,D
CA38,The Honorable,Linda,T.,Sánchez,,https://lindasanchez.house.gov/,12440 E. Imperial Hwy,Ste.140,"Norwalk, CA 90650",(562) 860-5050,2329 Rayburn House Office Building,Washington,DC,20515-0538,S001156,D
CA39,The Honorable,Edward,R.,Royce,,http://royce.house.gov/,210 W. Birch Street,Suite 201,"Brea, CA 92821-4504",(714) 255-0101,2310 Rayburn House Office Building,Washington,DC,20515-0539,R000487,R
CA40,The Honorable,Lucille,,Roybal-Allard,,http://roybal-allard.house.gov/,500 Citadel Drive,Suite 320,"Commerce, CA 90040",(323) 721-8790,2330 Rayburn House Office Building,Washington,DC,20515-0540,R000486,D
CA42,The Honorable,Ken,,Calvert,,http://calvert.house.gov/,4160 Temescal Canyon Rd.,Ste 214,"Corona, CA 92883",(951) 277-0042,2205 Rayburn House Office Building,Washington,DC,20515-0542,C000059,R
CA43,The Honorable,Maxine,,Waters,,https://waters.house.gov/,10124 South Broadway,Suite 1,"Los Angeles, CA 90003",(323) 757-8900,2221 Rayburn House Office Building,Washington,DC,20515-0543,W000187,D
CA45,The Honorable,Mimi,,Walters,,https://walters.house.gov/,3333 Michelson Drive,Suite 230,"Irvine, CA 92612",(949) 263-8703,236 Cannon House Office Building,Washington,DC,20515-0545,W000820,R
CA47,The Honorable,Alan,S.,Lowenthal,,http://lowenthal.house.gov/,100 W. Broadway West Tower,Suite 600,"Long Beach , CA 90802",(562) 436-3828,108 Cannon House Office Building,Washington,DC,20515-0547,L000579,D
CA48,The Honorable,Dana,,Rohrabacher,,https://rohrabacher.house.gov/,101 Main Street,Suite 380,"Huntington Beach, CA 92648",(714) 960-6483,2300 Rayburn House Office Building,Washington,DC,20515-0548,R000409,R
CA49,The Honorable,Darrell,E.,Issa,,http://issa.house.gov/,1800 Thibodo Road,#310,"Vista, CA 92081",760-599-5000,2269 Rayburn House Office Building,Washington,DC,20515-0549,I000056,R
CA50,The Honorable,Duncan,,Hunter,,https://hunter.house.gov/,1611 N. Magnolia Ave.,Ste 310,"El Cajon, CA 92020",(619) 448-5201,2429 Rayburn House Office Building,Washington,DC,20515-0550,H001048,R
CA51,The Honorable,Juan,,Vargas,,http://vargas.house.gov/,380 North 8th Street,Suite 14,"El Centro, CA 92243",760-312-9900,1605 Longworth House Office Building,Washington,DC,20515-0551,V000130,D
CA52,The Honorable,Scott,H.,Peters,,http://scottpeters.house.gov/,4350 Executive Drive,Suite 105,"San Diego, CA 92121",858-455-5550,1122 Longworth House Office Building,Washington,DC,20515-0552,P000608,D
CA53,The Honorable,Susan,A.,Davis,,http://susandavis.house.gov/,2700 Adams Avenue,Suite 102,"San Diego, CA 92116",(619) 280-5353,1214 Longworth House Office Building,Washington,DC,20515-0553,D000598,D
CO01,The Honorable,Diana,,DeGette,,http://degette.house.gov/,600 Grant Street,Suite 202,"Denver, CO 80203",(303) 844-4988,2368 Rayburn House Office Building,Washington,DC,20515-0601,D000197,D
CO02,The Honorable,Jared,,Polis,,http://polis.house.gov/,1220 S. College Ave.,"Fort Collins, CO 80525",,(970) 226-1239,1433 Longworth House Office Building,Washington,DC,20515-0602,P000598,D
CO03,The Honorable,Scott,R.,Tipton,,http://tipton.house.gov/,835 E. Second Avenue,Suite 230,"Durango, CO 81301",(970) 259-1490,218 Cannon House Office Building,Washington,DC,20515-0603,T000470,R
CO04,The Honorable,Ken,,Buck,,https://buck.house.gov/,900 Castleton Rd.,Suite 112,"Castle Rock, CO 80109",(720) 639-9165,416 Cannon House Office Building,Washington,DC,20515-0604,B001297,R
CO05,The Honorable,Doug,,Lamborn,,http://lamborn.house.gov/,1125 Kelly Johnson Blvd.,Suite 330,"Colorado Springs, CO 80920",(719) 520-0055,2402 Rayburn House Office Building,Washington,DC,20515-0605,L000564,R
CO06,The Honorable,Mike,,Coffman,,http://coffman.house.gov/,3300 S. Parker Road,Cherry Creek Place IV Suite #305,"Aurora, CO 80014",720.748.7514,2443 Rayburn House Office Building,Washington,DC,20515-0606,C001077,R
CO07,The Honorable,Ed,,Perlmutter,,https://perlmutter.house.gov/,12600 West Colfax Avenue,Suite B-400,"Lakewood, CO 80215",303.274.7944,1410 Longworth House Office Building,Washington,DC,20515-0607,P000593,D
CT01,The Honorable,John,B.,Larson,,https://larson.house.gov/,221 Main Street,2nd Floor,"Hartford, CT 06106",(860) 278-8888,1501 Longworth House Office Building,Washington,DC,20515-0701,L000557,D
CT02,The Honorable,Joe,,Courtney,,https://courtney.house.gov/,55 Main Street,Suite 250,"Norwich, CT 06360",(860) 886-0139,2348 Rayburn House Office Building,Washington,DC,20515-0702,C001069,D
CT03,The Honorable,Rosa,L.,DeLauro,,https://delauro.house.gov/,59 Elm Street,"New Haven, CT 06510",,(203) 562-3718,2413 Rayburn House Office Building,Washington,DC,20515-0703,D000216,D
CT04,The Honorable,James,A.,Himes,,https://himes.house.gov/,211 State Street,2nd Floor,"Bridgeport, CT 06604",(866) 453-0028,1227 Longworth House Office Building,Washington,DC,20515-0704,H001047,D
CT05,The Honorable,Elizabeth,H.,Esty,,https://esty.house.gov/,1 Grove St.,Suite 600,"New Britain, CT 06053",(860) 223-8412,405 Cannon House Office Building,Washington,DC,20515-0705,E000293,D
DC00,The Honorable,Eleanor,Holmes,Norton,,https://norton.house.gov/,"90 K Street, NE",Suite 100,"Washington, DC 20001",(202) 408-9041,2136 Rayburn House Office Building,Washington,DC,20515-5101,N000147,D
FL03,The Honorable,Ted,S.,Yoho,,http://yoho.house.gov/,5000 NW 27th Court,Suite E,"Gainesville, FL 32606",352-505-0838,511 Cannon House Office Building,Washington,DC,20515-0903,Y000065,R
FL06,The Honorable,Ron,,DeSantis,,http://desantis.house.gov/,1000 City Center Circle,"Port Orange, FL 32129",,386-756-9798,308 Cannon House Office Building,Washington,DC,20515-0906,D000621,R
FL08,The Honorable,Bill,,Posey,,http://posey.house.gov/,2725 Judge Fran Jamieson Way,Building C,"Melbourne, FL 32940",(321) 632-1776,120 Cannon House Office Building,Washington,DC,20515-0908,P000599,R
FL10,The Honorable,Daniel,,Webster,,http://webster.house.gov/,300 West Plant Street,"Winter Garden, FL 34787",,(407) 654-5705,1039 Longworth House Office Building,Washington,DC,20515-0910,W000806,R
FL12,The Honorable,Gus,M.,Bilirakis,,https://bilirakis.house.gov/,7132 Little Road,"New Port Richey, FL 34654",,(727) 232-2921,2112 Rayburn House Office Building,Washington,DC,20515-0912,B001257,R
FL14,The Honorable,Kathy,,Castor,,http://castor.house.gov/,4144 N. Armenia Ave.,Suite 300,"Tampa, FL 33607",(813)871-2817,205 Cannon House Office Building,Washington,DC,20515-0914,C001066,D
FL15,The Honorable,Dennis,A.,Ross,,http://dennisross.house.gov/,170 Fitzgerald Road,Suite 1,"Lakeland, FL 33813",(863) 644-8215,229 Cannon House Office Building,Washington,DC,20515-0915,R000593,R
FL16,The Honorable,Vern,,Buchanan,,https://buchanan.house.gov/,1051 Manatee Ave West,Suite 305,"Bradenton, FL 34205",(941) 747-9081,2104 Rayburn House Office Building,Washington,DC,20515-0916,B001260,R
FL17,The Honorable,Thomas,J.,Rooney,,https://rooney.house.gov/,304 NW 2nd Street,Room 105,"Okeechobee, FL 34972",863-402-9082,2160 Rayburn House Office Building,Washington,DC,20515-0917,R000583,R
FL20,The Honorable,Alcee,L.,Hastings,,http://alceehastings.house.gov/,2701 W. Oakland Park Blvd,Suite 200,"Fort Lauderdale, FL 33311",(954) 733-2800,2353 Rayburn House Office Building,Washington,DC,20515-0920,H000324,D
FL21,The Honorable,Theodore,E.,Deutch,,http://teddeutch.house.gov/,7900 Glades Road,Ste. 250,"Boca Raton, FL 33434",561-470-5440,2447 Rayburn House Office Building,Washington,DC,20515-0921,D000610,D
FL22,The Honorable,Lois,,Frankel,,http://frankel.house.gov/,2500 N. Military Trail,Suite 490,"Boca Raton, FL 33431",561-998-9045,1037 Longworth House Office Building,Washington,DC,20515-0922,F000462,D
FL23,The Honorable,Debbie,,Wasserman Schultz,,https://wassermanschultz.house.gov/,10100 Pines Blvd.,"Pembroke Pines, FL 33026",,954-437-3936,1114 Longworth House Office Building,Washington,DC,20515-0923,W000797,D
FL24,The Honorable,Frederica,S.,Wilson,,https://wilson.house.gov/,18425 NW 2nd Avenue,Suite 355,"Miami Gardens, FL 33169",(305) 690-5905,208 Cannon House Office Building,Washington,DC,20515-0924,W000808,D
FL25,The Honorable,Mario,,Diaz-Balart,,http://mariodiazbalart.house.gov/,8669 NW 36th Street,Suite 100,"Doral, FL 33166",(305) 470-8555,440 Cannon House Office Building,Washington,DC,20515-0925,D000600,R
FL26,The Honorable,Carlos,,Curbelo,,http://curbelo.house.gov/,12851 SW 42nd Street,Suite 131,"Miami, FL 33175",(305) 222-0160,1429 Longworth House Office Building,Washington,DC,20515-0926,C001107,R
FL27,The Honorable,Ileana,,Ros-Lehtinen,,http://ros-lehtinen.house.gov/,4960 SW 72 Ave,Suite 208,"Miami, FL 33155",(305) 668-2285,2206 Rayburn House Office Building,Washington,DC,20515-0927,R000435,R
GA01,The Honorable,Earl,L. “Buddy”,Carter,,http://buddycarter.house.gov/,1510 Newcastle Street,Suite 200,"Brunswick, GA 31520",(912) 265-9010,432 Cannon House Office Building,Washington,DC,20515-1001,C001103,R
GA02,The Honorable,Sanford,D.,Bishop,Jr.,http://bishop.house.gov/,235 West Roosevelt Avenue,"Albany Towers, Suite 114","Albany, GA 31701",229-439-8067,2407 Rayburn House Office Building,Washington,DC,20515-1002,B000490,D
GA04,The Honorable,Henry,C. “Hank”,Johnson,Jr.,https://hankjohnson.house.gov/,5240 Snapfinger Park Drive,Suite 130,"Decatur, GA 30035",(770) 987-2291,2240 Rayburn House Office Building,Washington,DC,20515-1004,J000288,D
GA05,The Honorable,John,,Lewis,,https://johnlewis.house.gov/,100 Peachtree Street NW,Suite 1920,"Atlanta, GA 30303",(404) 659-0116,343 Cannon House Office Building,Washington,DC,20515-1005,L000287,D
GA06,The Honorable,Tom,,Price,,https://tomprice.house.gov/,85-C Mill Street,Suite 300,"Roswell, GA 30075",770-998-0049,100 Cannon House Office Building,Washington,DC,20515-1006,P000591,R
GA07,The Honorable,Rob,,Woodall,,https://woodall.house.gov/,75 Langley Dr,"Lawrenceville, GA 30046",,(770) 232-3005,1724 Longworth House Office Building,Washington,DC,20515-1007,W000810,R
GA08,The Honorable,Austin,,Scott,,https://austinscott.house.gov/,127-B N. Central Ave.,"Tifton, GA 31794",,(229) 396-5175,2417 Rayburn House Office Building,Washington,DC,20515-1008,S001189,R
GA09,The Honorable,Doug,,Collins,,https://dougcollins.house.gov/,210 Washington St NW,"Gainesville, GA 30501",,(770) 297-3388,1504 Longworth House Office Building,Washington,DC,20515-1009,C001093,R
GA10,The Honorable,Jody,B.,Hice,,https://hice.house.gov/,3015 Heritage Road,Suite 6,"Milledgeville, GA 31061",(478) 457-0007,1516 Longworth House Office Building,Washington,DC,20515-1010,H001071,R
GA11,The Honorable,Barry,,Loudermilk,,http://loudermilk.house.gov/,9898 Highway 92,Suite 100,"Woodstock, GA 30188",770-429-1776,238 Cannon House Office Building,Washington,DC,20515-1011,L000583,R
GA12,The Honorable,Rick,W.,Allen,,http://allen.house.gov/,2743 Perimeter Parkway,"Bldg. 200, Suite 225","Augusta, GA 30909",(706) 228-1980,513 Cannon House Office Building,Washington,DC,20515-1012,A000372,R
GA13,The Honorable,David,,Scott,,http://davidscott.house.gov/,173 North Main Street,"Jonesboro, GA 30236",,(770) 210-5073,225 Cannon House Office Building,Washington,DC,20515-1013,S001157,D
GA14,The Honorable,Tom,,Graves,,http://tomgraves.house.gov/,600 East First Street,Suite 301,"Rome, GA 30161",(706) 290-1776,2442 Rayburn House Office Building,Washington,DC,20515-1014,G000560,R
GU00,The Honorable,Madeleine,Z.,Bordallo,,https://bordallo.house.gov/,120 Father Duenas Avenue,Suite 107,"Hagåtña, GU 96910",671-477-4272,2441 Rayburn House Office Building,Washington,DC,20515-5301,B001245,D
HI02,The Honorable,Tulsi,,Gabbard,,http://gabbard.house.gov/,300 Ala Moana Blvd.,5-104 Prince Kuhio Bldg.,"Honolulu, HI 96850",(808) 541-1986,1609 Longworth House Office Building,Washington,DC,20515-1102,G000571,D
IA01,The Honorable,Rod,,Blum,,https://blum.house.gov/,515 Main Street,Suite D,"Cedar Falls, IA 50613",(319) 266-6925,213 Cannon House Office Building,Washington,DC,20515-1501,B001294,R
IA02,The Honorable,David,,Loebsack,,http://loebsack.house.gov/,209 West 4th Street,#104,"Davenport, IA 52801",(563) 323-5988,1527 Longworth House Office Building,Washington,DC,20515-1502,L000565,D
IA03,The Honorable,David,,Young,,https://davidyoung.house.gov/,501 5th Avenue,"Council Bluffs, IA 51503",,(712) 325-1404,515 Cannon House Office Building,Washington,DC,20515-1503,Y000066,R
IA04,The Honorable,Steve,,King,,https://steveking.house.gov/,1421 S Bell Avenue,Suite 102,"Ames, IA 50010",515.232.2885,2210 Rayburn House Office Building,Washington,DC,20515-1504,K000362,R
ID01,The Honorable,Raúl,R.,Labrador,,https://labrador.house.gov/,33 East Broadway Avenue,Suite 251,"Meridian, ID 83642",(208) 888 - 3188,1523 Longworth House Office Building,Washington,DC,20515-1201,L000573,R
ID02,The Honorable,Michael,K.,Simpson,,http://simpson.house.gov/,802 West Bannock,Suite 600,"Boise, ID 83702",208-334-1953,2312 Rayburn House Office Building,Washington,DC,20515-1202,S001148,R
IL01,The Honorable,Bobby,L.,Rush,,http://rush.house.gov/,11750 S. Western Ave.,"Chicago, IL 60643-4732",,(773) 779-2400,2188 Rayburn House Office Building,Washington,DC,20515-1301,R000515,D
IL02,The Honorable,Robin,L.,Kelly,,https://robinkelly.house.gov/,9204 S. Commercial Ave,Suite 415,"Chicago, IL 60617",(773) 321-2001,1239 Longworth House Office Building,Washington,DC,20515-1302,K000385,D
IL03,The Honorable,Daniel,,Lipinski,,https://lipinski.house.gov/,6245 South Archer Avenue,"Chicago, IL 60638",,(773) 948 - 6223,2346 Rayburn House Office Building,Washington,DC,20515-1303,L000563,D
IL04,The Honorable,Luis,V.,Gutiérrez,,https://gutierrez.house.gov/,3240 W. Fullerton Ave,"Chicago, IL 60647",,(773) 342-0774,2408 Rayburn House Office Building,Washington,DC,20515-1304,G000535,D
IL05,The Honorable,Mike,,Quigley,,https://quigley.house.gov/,3223 N. Sheffield Ave.,"Chicago, IL 60657",,(773) 267-5926,2458 Rayburn House Office Building,Washington,DC,20515-1305,Q000023,D
IL06,The Honorable,Peter,J.,Roskam,,https://roskam.house.gov/,2700 International Drive,Suite 304,"West Chicago, IL 60185",(630) 232-0006,2246 Rayburn House Office Building,Washington,DC,20515-1306,R000580,R
IL07,The Honorable,Danny,K.,Davis,,https://davis.house.gov/,2746 West Madison Street,"Chicago, Illinois 60612",,(773) 533-7520,2159 Rayburn House Office Building,Washington,DC,20515-1307,D000096,D
IL09,The Honorable,Janice,D.,Schakowsky,,https://schakowsky.house.gov/,5533 N. Broadway,"Chicago, IL 60640",,(773) 506-7100,2367 Rayburn House Office Building,Washington,DC,20515-1309,S001145,D
IL11,The Honorable,Bill,,Foster,,http://foster.house.gov/,2711 E New York Street,Suite 204,"Aurora, IL 60502",630-585-7672,1224 Longworth House Office Building,Washington,DC,20515-1311,F000454,D
IL12,The Honorable,Mike,,Bost,,https://bost.house.gov/,101 East Third Street,"Alton, IL 62002",,(618) 233-8026,1440 Longworth House Office Building,Washington,DC,20515-1312,B001295,R
IL13,The Honorable,Rodney,,Davis,,http://rodneydavis.house.gov/,2004 Fox Drive,"Champaign, IL 61820",,217.403.4690,1740 Longworth House Office Building,Washington,DC,20515-1313,D000619,R
IL14,The Honorable,Randy,,Hultgren,,http://hultgren.house.gov/,40W310 Lafox Road,#F2,"Campton Hills, IL 60175",(630) 584-2734,2455 Rayburn House Office Building,Washington,DC,20515-1314,H001059,R
IL15,The Honorable,John,,Shimkus,,https://shimkus.house.gov/,201 North Vermilion Street,Suite 218,"Danville, IL 61832",(217) 446-0664,2217 Rayburn House Office Building,Washington,DC,20515-1315,S000364,R
