state,member_full,last_name,first_name,party,District Address Line 1,District Address Line 2,District  Address Line 3,District  Phone,DC Address,DC Phone,email,website,class,bioguide_id,leadership_position,contact_information_Id
DE,Carper (D-DE),Carper,Thomas R.,D,301 North Walnut Street,Suite 102L-1,"Wilmington, DE 19801-3974",(302) 573-6291,513 Hart Senate Office Building,(202) 224-2441,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,http://www.carper.senate.gov,Class I,C000174,,0
DE,Coons (D-DE),Coons,Christopher A.,D,1105 N. Market St.,Suite 100,"Wilmington, DE 19801-1233",(302) 573-6345\,127A Russell Senate Office Building,(202) 224-5042,https://www.coons.senate.gov/contact,http://www.coons.senate.gov/,Class II,C001088,,0
FL,Nelson (D-FL),Nelson,Bill,D,3416 South University Drive,"Fort Lauderdale, FL 33328",,954-693-4851,716 Hart Senate Office Building,(202) 224-5274,https://www.billnelson.senate.gov/contact-bill,http://www.billnelson.senate.gov/,Class I,N000032,,0
FL,Rubio (R-FL),Rubio,Marco,R,201 South Orange Avenue,Suite 350,"Orlando, FL 32801",(407) 254-2573,284 Russell Senate Office Building,(202) 224-3041,http://www.rubio.senate.gov/public/index.cfm/contact,http://www.rubio.senate.gov,Class III,R000595,,0
GA,Isakson (R-GA),Isakson,Johnny,R,"One Overton Park
3625 Cumberland Blvd",Suite 970,"Atlanta, GA 30339",(770) 661-0999,131 Russell Senate Office Building,(202) 224-3643,https://www.isakson.senate.gov/public/index.cfm/email-me,http://www.isakson.senate.gov,Class III,I000055,,0
GA,Perdue (R-GA),Perdue,David,R,191 Peachtree Street NE,Suite 3250,"Atlanta, GA 30303",(404) 865-0087,383 Russell Senate Office Building,(202) 224-3521,https://www.perdue.senate.gov/connect/email,http://www.perdue.senate.gov,Class II,P000612,,0
HI,Hirono (D-HI),Hirono,Mazie K.,D,300 Ala Moana Blvd.,Rm. 3-106,"Honolulu, HI 96850",(808) 522-8970,330 Hart Senate Office Building,(202) 224-6361,https://www.hirono.senate.gov/contact,http://www.hirono.senate.gov/,Class I,H001042,,0
HI,Schatz (D-HI),Schatz,Brian,D,300 Ala Moana Blvd.,Rm 7-212,"Honolulu, HI 96850",(808) 523-2061,722 Hart Senate Office Building,(202) 224-3934,https://www.schatz.senate.gov/contact,http://www.schatz.senate.gov,Class III,S001194,,0
IA,Ernst (R-IA),Ernst,Joni,R,733 Federal Building,210 Walnut Street,"Des Moines, IA 50309",(515) 284-4574,111 Russell Senate Office Building,(202) 224-3254,https://www.ernst.senate.gov/public/index.cfm/contact,http://www.ernst.senate.gov,Class II,E000295,,0
IA,Grassley (R-IA),Grassley,Chuck,R,"111 7th Avenue SE, Box 13",Suite 6800,"Cedar Rapids, IA 52401",(319) 363-6832,135 Hart Senate Office Building,(202) 224-3744,http://www.grassley.senate.gov/contact,http://www.grassley.senate.gov,Class III,G000386,,0
ID,Crapo (R-ID),Crapo,Mike,R,251 East Front Street,Suite 205,"Boise, ID 83702",(208) 334-1776,239 Dirksen Senate Office Building,(202) 224-6142,http://www.crapo.senate.gov/contact/email.cfm,http://www.crapo.senate.gov,Class III,C000880,,0
ID,Risch (R-ID),Risch,James E.,R,"U.S. Senator James E. Risch
350 N. 9th St.",Suite 302,"Boise, Idaho 83702",208-342-7985,483 Russell Senate Office Building,(202) 224-2752,http://www.risch.senate.gov/public/index.cfm?p=Email,http://www.risch.senate.gov,Class II,R000584,,0
IL,Durbin (D-IL),Durbin,Richard J.,D,230 S. Dearborn Street,Suite 3892,"Chicago, IL 60604",312.353.4952,711 Hart Senate Office Building,(202) 224-2152,https://www.durbin.senate.gov/contact/,http://www.durbin.senate.gov,Class II,D000563,Assistant Democratic Leader,0
IL ,,Kirk,Mark,,,,,312-886-3506 ,,202-224-2854,,,,,,
IN,Donnelly (D-IN),Donnelly,Joe,D,123 NW 4th Street,Suite 417,"Evansville, IN 47708",(812) 425-5813,720 Hart Senate Office Building,(202) 224-4814,https://www.donnelly.senate.gov/contact/email-joe,http://www.donnelly.senate.gov,Class I,D000607,,0
KS,Moran (R-KS),Moran,Jerry,R,"1200 Main St., Suite 402",P.O. Box 249,"Hays, KS 67601",(785) 628-6401,521 Dirksen Senate Office Building,(202) 224-6521,https://www.moran.senate.gov/public/index.cfm/e-mail-jerry,http://www.moran.senate.gov,Class III,M000934,,0
KS,Roberts (R-KS),Roberts,Pat,R,11900 College Boulevard,Suite 203,"Overland Park, KS 66210",(913) 451-9343,109 Hart Senate Office Building,(202) 224-4774,https://www.roberts.senate.gov/public/?p=EmailPat,http://www.roberts.senate.gov/,Class II,R000307,,0
KY,McConnell (R-KY),McConnell,Mitch,R,601 W. Broadway,Room 630,"Louisville, KY 40202",(502) 582-6304,317 Russell Senate Office Building,(202) 224-2541,http://www.mcconnell.senate.gov/public/index.cfm?p=contact,http://www.mcconnell.senate.gov/,Class II,M000355,Majority Leader,0
KY,Paul (R-KY),Paul,Rand,R,1029 State Street,"Bowling Green, KY 42101",,270-782-8303,167 Russell Senate Office Building,(202) 224-4343,https://www.paul.senate.gov/connect/email-rand,http://www.paul.senate.gov,Class III,P000603,,0
LA,Cassidy (R-LA),Cassidy,Bill,R,3600 Jackson Street,Ste. 115A,"Alexandria, LA 71303",(318) 448-7176,703 Hart Senate Office Building,(202) 224-5824,https://www.cassidy.senate.gov/contact,http://www.cassidy.senate.gov,Class II,C001075,,0
MA,Markey (D-MA),Markey,Edward J.,D,975 JFK Federal Building,15 New Sudbury Street,"Boston, MA 02203",617-565-8519,255 Dirksen Senate Office Building,(202) 224-2742,https://www.markey.senate.gov/contact,http://www.markey.senate.gov/,Class II,M000133,,0
MA,Warren (D-MA),Warren,Elizabeth,D,2400 JFK Federal Building,15 New Sudbury Street,"Boston, MA 02203",(617) 565-3170,317 Hart Senate Office Building,(202) 224-4543,https://www.warren.senate.gov/?p=email_senator,http://www.warren.senate.gov,Class I,W000817,,0
MD,Cardin (D-MD),Cardin,Benjamin L.,D,100 South Charles Street,"Tower 1, Suite 1710","Baltimore, MD, 21201",(410) 962-4436,509 Hart Senate Office Building,(202) 224-4524,http://www.cardin.senate.gov/contact/,http://www.cardin.senate.gov/,Class I,C000141,,0
ME,Collins (R-ME),Collins,Susan M.,R,68 Sewall Street,Room 507,"Augusta, ME 04330",(207) 622-8414,413 Dirksen Senate Office Building,(202) 224-2523,http://www.collins.senate.gov/contact,http://www.collins.senate.gov,Class II,C001035,,0
ME,King (I-ME),King,"Angus S., Jr.",I,4 Gabriel Drive,Suite 3,"Augusta, ME 04330",(207) 622-8292,133 Hart Senate Office Building,(202) 224-5344,https://www.king.senate.gov/contact,http://www.king.senate.gov/,Class I,K000383,,0
MI,Peters (D-MI),Peters,Gary C.,D,"Patrick V. McNamara Federal Building 
477 Michigan Avenue",Suite 1860,"Detroit, MI 48226",(313) 226-6020,724 Hart Senate Office Building,(202) 224-6221,https://www.peters.senate.gov/contact/email-gary,http://www.peters.senate.gov,Class II,P000595,,0
MI,Stabenow (D-MI),Stabenow,Debbie,D,221 W. Lake Lansing Road,Suite 100,"East Lansing, MI 48823",(517) 203-1760,731 Hart Senate Office Building,(202) 224-4822,http://www.stabenow.senate.gov/?p=contact,http://www.stabenow.senate.gov/,Class I,S000770,,0
MN,Franken (D-MN),Franken,Al,D,515 W 1st St,Suite 104,"Duluth, MN 55802",(218) 722-2390,309 Hart Senate Office Building,(202) 224-5641,https://www.franken.senate.gov/?p=contact,http://www.franken.senate.gov,Class II,F000457,,0
MN,Klobuchar (D-MN),Klobuchar,Amy,D,1200 Washington Avenue South,Room 250,"Minneapolis, MN 55415",612-727-5220,302 Hart Senate Office Building,(202) 224-3244,http://www.klobuchar.senate.gov/public/contact-amy,http://www.klobuchar.senate.gov/,Class I,K000367,,0
MO,Blunt (R-MO),Blunt,Roy,R,2740 B East Sunshine,"Springfield, MO 65804",,(417) 877-7814,260 Russell Senate Office Building,(202) 224-5721,https://www.blunt.senate.gov/public/index.cfm/contact-roy,http://www.blunt.senate.gov,Class III,B000575,,0
MO,McCaskill (D-MO),McCaskill,Claire,D,555 Independence St.,Room 1600,"Cape Girardeau, MO 63703",(573) 651-0964,730 Hart Senate Office Building,(202) 224-6154,http://www.mccaskill.senate.gov/contact,http://www.mccaskill.senate.gov/,Class I,M001170,,0
MS,Cochran (R-MS),Cochran,Thad,R,190 East Capitol St.,Suite 550,"Jackson, Mississippi 39201",(601) 965-4459,113 Dirksen Senate Office Building,(202) 224-5054,https://www.cochran.senate.gov/public/index.cfm/email-me,http://www.cochran.senate.gov,Class II,C000567,,0
MS,Wicker (R-MS),Wicker,Roger F.,R,2909 13th Street,"3rd Floor, Suite 303","Gulfport, MS 39501",(228) 871-7017,555 Dirksen Senate Office Building,(202) 224-6253,https://www.wicker.senate.gov/public/index.cfm/contact,http://www.wicker.senate.gov,Class I,W000437,,0
MT,Daines (R-MT),Daines,Steve,R,222 N. 32nd Street,Ste. 100,"Billings, MT 59101",(406) 245-6822,320 Hart Senate Office Building,(202) 224-2651,https://www.daines.senate.gov/connect/email-steve,http://www.daines.senate.gov,Class II,D000618,,0
MT,Tester (D-MT),Tester,Jon,D,"Judge Jameson Federal Building
2900 4th Ave N",Suite 201,"Billings, MT 59101",(406) 252-0550,311 Hart Senate Office Building,(202) 224-2644,https://www.tester.senate.gov/?p=email_senator,http://www.tester.senate.gov/,Class I,T000464,,0
NC,Burr (R-NC),Burr,Richard,R,2000 West First Street,Suite 508,"Winston-Salem, NC 27104",(336) 631-5125,217 Russell Senate Office Building,(202) 224-3154,https://www.burr.senate.gov/contact/email,http://www.burr.senate.gov,Class III,B001135,,0
NC,Tillis (R-NC),Tillis,Thom,R,9300 Harris Corners Pkwy,Suite 170,"Charlotte, NC 28269",704-509-9087,185 Dirksen Senate Office Building,(202) 224-6342,https://www.tillis.senate.gov/public/index.cfm/email-me,http://www.tillis.senate.gov,Class II,T000476,,0
ND,Heitkamp (D-ND),Heitkamp,Heidi,D,228 Federal Building,220 East Rosser Avenue,"Bismarck, ND 58501",(701) 258-4648,110 Hart Senate Office Building,(202) 224-2043,http://www.heitkamp.senate.gov/public/index.cfm/contact,http://www.heitkamp.senate.gov/,Class I,H001069,,0
ND,Hoeven (R-ND),Hoeven,John,R,"U.S. Federal Building
220 East Rosser Ave.",Room 312,"Bismarck, ND 58501",701-250-4618,338 Russell Senate Office Building,(202) 224-2551,http://www.hoeven.senate.gov/public/index.cfm/email-the-senator,http://www.hoeven.senate.gov,Class III,H001061,,0
NE,Fischer (R-NE),Fischer,Deb,R,440 North 8th Street,Suite 120,"Lincoln, Nebraska 68508",(402) 441-4600,454 Russell Senate Office Building,(202) 224-6551,http://www.fischer.senate.gov/public/index.cfm/contact,http://www.fischer.senate.gov,Class I,F000463,,0
NE,Sasse (R-NE),Sasse,Ben,R,1128 Lincoln Mall,Suite 305,"Lincoln, NE 68508",402-476-1400,386A Russell Senate Office Building,(202) 224-4224,http://www.sasse.senate.gov/public/index.cfm/email-ben,http://www.sasse.senate.gov,Class II,S001197,,0
NH,Shaheen (D-NH),Shaheen,Jeanne,D,2 Wall Street,Suite 220,"Manchester, NH 03101",(603) 647-7500,506 Hart Senate Office Building,(202) 224-2841,http://www.shaheen.senate.gov/contact/,http://www.shaheen.senate.gov,Class II,S001181,,0
NJ,Booker (D-NJ),Booker,Cory A.,D,"One Port Center 
2 Riverside Drive",Suite 505,"Camden, NJ 08101",(856) 338-8922,359 Dirksen Senate Office Building,(202) 224-3224,https://www.booker.senate.gov/?p=contact,http://www.booker.senate.gov,Class II,B001288,,0
NJ,Menendez (D-NJ),Menendez,Robert,D,One Gateway Center,Suite 1100,"Newark, New Jersey 07102",973.645.3030,528 Hart Senate Office Building,(202) 224-4744,https://www.menendez.senate.gov/contact,http://www.menendez.senate.gov/,Class I,M000639,,0
NM,Heinrich (D-NM),Heinrich,Martin,D,400 Gold Avenue SW,Ste. 1080,"Albuquerque, New Mexico 87102",(505) 346-6601,303 Hart Senate Office Building,(202) 224-5521,http://www.heinrich.senate.gov/contact,http://www.heinrich.senate.gov/,Class I,H001046,,0
NM,Udall (D-NM),Udall,Tom,D,400 Gold Ave. SW,Suite 300,"Albuquerque, NM 87102",(505) 346-6791,531 Hart Senate Office Building,(202) 224-6621,https://www.tomudall.senate.gov/?p=contact,http://www.tomudall.senate.gov,Class II,U000039,,0
NV,Heller (R-NV),Heller,Dean,R,8930 West Sunset Road,Suite 230,"Las Vegas, NV 89148",702-388-6605,324 Hart Senate Office Building,(202) 224-6244,http://www.heller.senate.gov/public/index.cfm/contact-form,http://www.heller.senate.gov/,Class I,H001041,,0
NY,Gillibrand (D-NY),Gillibrand,Kirsten E.,D,"Leo W. O’Brien Federal Office Building
11A Clinton Avenue",Room 821,"Albany, NY 12207",(518) 431-0120,478 Russell Senate Office Building,(202) 224-4451,http://www.gillibrand.senate.gov/contact/,http://www.gillibrand.senate.gov,Class I,G000555,,0
NY,Schumer (D-NY),Schumer,Charles E.,D,Leo O'Brien Building,Room 420,"Albany, NY 12207",(518) 431-4070,322 Hart Senate Office Building,(202) 224-6542,https://www.schumer.senate.gov/contact/email-chuck,http://www.schumer.senate.gov/,Class III,S000148,,0
OH,Brown (D-OH),Brown,Sherrod,D,801 West Superior Ave.,Suite 1400,"Cleveland, OH 44113",(216) 522-7272,713 Hart Senate Office Building,(202) 224-2315,http://www.brown.senate.gov/contact/,http://www.brown.senate.gov/,Class I,B000944,,0
OH,Portman (R-OH),Portman,Rob,R,37 West Broad Street,Room 300,"Columbus, OH 43215",614-469-6774,448 Russell Senate Office Building,(202) 224-3353,https://www.portman.senate.gov/public/index.cfm/contact?p=contact-form,http://www.portman.senate.gov,Class III,P000449,,0
OK,Inhofe (R-OK),Inhofe,James M.,R,1924 S. Utica Avenue,Suite 530,"Tulsa, OK 74104-6511",(918) 748-5111,205 Russell Senate Office Building,(202) 224-4721,https://www.inhofe.senate.gov/contact,http://www.inhofe.senate.gov/,Class II,I000024,,0
OK,Lankford (R-OK),Lankford,James,R,1015 North Broadway Avenue,Suite 310,"Oklahoma City, OK 73102",(405) 231-4941,316 Hart Senate Office Building,(202) 224-5754,http://www.lankford.senate.gov/contact/email,http://www.lankford.senate.gov,Class III,L000575,,0
OR,Merkley (D-OR),Merkley,Jeff,D,121 SW Salmon Street,Ste. 1400,"Portland, OR 97204",(503) 326-3386,313 Hart Senate Office Building,(202) 224-3753,http://www.merkley.senate.gov/contact/,http://www.merkley.senate.gov,Class II,M001176,,0
OR,Wyden (D-OR),Wyden,Ron,D,911 NE 11th Ave.,Suite 630,"Portland, OR, 97232",(503) 326-7525,221 Dirksen Senate Office Building,(202) 224-5244,https://www.wyden.senate.gov/contact/,http://www.wyden.senate.gov/,Class III,W000779,,0
PA,Casey (D-PA),Casey,"Robert P., Jr.",D,2000 Market Street,Suite 610,"Philadelphia, PA 19103",(215) 405-9660,393 Russell Senate Office Building,(202) 224-6324,https://www.casey.senate.gov/contact/,http://www.casey.senate.gov/,Class I,C001070,,0
PA,Toomey (R-PA),Toomey,Patrick J.,R,"United States Federal Building
17 South Park Row",Suite B-120,"Erie, PA 16501",(814) 453-3010,248 Russell Senate Office Building,(202) 224-4254,https://www.toomey.senate.gov/?p=contact,http://www.toomey.senate.gov/,Class III,T000461,,0
RI,Reed (D-RI),Reed,Jack,D,1000 Chapel View Boulevard,Suite 290,"Cranston, RI 02920-5602",(401) 943-3100,728 Hart Senate Office Building,(202) 224-4642,https://www.reed.senate.gov/contact/,http://www.reed.senate.gov/,Class II,R000122,,0
RI,Whitehouse (D-RI),Whitehouse,Sheldon,D,170 Westminster St.,Ste. 200,"Providence, RI 02903",(401) 453-5294,530 Hart Senate Office Building,(202) 224-2921,https://www.whitehouse.senate.gov/contact/,http://www.whitehouse.senate.gov/,Class I,W000802,,0
SC,Graham (R-SC),Graham,Lindsey,R,130 South Main Street,7th Floor,"Greenville, SC 29601",(864) 250-1417,290 Russell Senate Office Building,(202) 224-5972,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,http://www.lgraham.senate.gov/,Class II,G000359,,0
SC,Scott (R-SC),Scott,Tim,R,1301 Gervais Street,Suite 825,"Columbia, SC 29201",(803) 771-6112,520 Hart Senate Office Building,(202) 224-6121,https://www.scott.senate.gov/contact/email-me,http://www.scott.senate.gov/,Class III,S001184,,0
SD,Rounds (R-SD),Rounds,Mike,R,"111 W Capitol Ave., Suite 210
",P.O.Box 309,"Pierre, SD 57501",(605) 224-1450,502 Hart Senate Office Building,(202) 224-5842,https://www.rounds.senate.gov/contact/email-mike,http://www.rounds.senate.gov,Class II,R000605,,0
SD,Thune (R-SD),Thune,John,R,246 Founders Park Drive,Suite 102,"Rapid City, SD 57701",(605) 348-7551,511 Dirksen Senate Office Building,(202) 224-2321,http://www.thune.senate.gov/public/index.cfm/contact,http://www.thune.senate.gov/,Class III,T000250,,0
TN,Alexander (R-TN),Alexander,Lamar,R,"Joel E. Soloman Federal Building
900 Georgia Avenue",#260,"Chattanooga, TN 37402",(423) 752-5337,455 Dirksen Senate Office Building,(202) 224-4944,http://www.alexander.senate.gov/public/index.cfm?p=Email,http://www.alexander.senate.gov/,Class II,A000360,,0
TN,Corker (R-TN),Corker,Bob,R,100 Peabody Place,Suite 1125,"Memphis, TN 38103",901-683-1910,425 Dirksen Senate Office Building,(202) 224-3344,https://www.corker.senate.gov/public/index.cfm/emailme,http://www.corker.senate.gov/,Class I,C001071,,0
TX,Cornyn (R-TX),Cornyn,John,R,5300 Memorial Drive,Suite 980,"Houston, TX 77007",713-572-3337,517 Hart Senate Office Building,(202) 224-2934,https://www.cornyn.senate.gov/contact,http://www.cornyn.senate.gov/,Class II,C001056,Assistant Majority Leader,0
TX,Cruz (R-TX),Cruz,Ted,R,300 E 8th,Suite 961,"Austin, TX 78701",(512) 916-5834,404 Russell Senate Office Building,(202) 224-5922,http://www.cruz.senate.gov/?p=email_senator,http://www.cruz.senate.gov,Class I,C001098,,0
UT,Hatch (R-UT),Hatch,Orrin G.,R,77 N. Main Street,Suite 112,"Cedar City, UT 84720",(435) 586-8435,104 Hart Senate Office Building,(202) 224-5251,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,http://www.hatch.senate.gov/,Class I,H000338,President Pro Tempore,0
UT,Lee (R-UT),Lee,Mike,R,"James V. Hansen Federal Building
324 25th Street",Suite 1410,"Ogden, Utah 84401",801-392-9633,361A Russell Senate Office Building,(202) 224-5444,https://www.lee.senate.gov/public/index.cfm/contact,http://www.lee.senate.gov/,Class III,L000577,,0
VA,Kaine (D-VA),Kaine,Tim,D,919 East Main Street,Suite 970,"Richmond, VA 23219",(804) 771-2221,231 Russell Senate Office Building,(202) 224-4024,https://www.kaine.senate.gov/contact,http://www.kaine.senate.gov/,Class I,K000384,,0
VA,Warner (D-VA),Warner,Mark R.,D,180 West Main Street,"Abingdon, VA 24210",,276-628-8158,475 Russell Senate Office Building,(202) 224-2023,http://www.warner.senate.gov/public/index.cfm?p=Contact,http://www.warner.senate.gov,Class II,W000805,,0
VT,Leahy (D-VT),Leahy,Patrick J.,D,199 Main Street,4th Floor,"Burlington, VT 05401",(802) 863-2525,437 Russell Senate Office Building,(202) 224-4242,https://www.leahy.senate.gov/contact/,http://www.leahy.senate.gov/,Class III,L000174,,0
VT,Sanders (I-VT),Sanders,Bernard,I,1 Church St,3rd Floor,"Burlington, VT 05401",(802) 862-0697,332 Dirksen Senate Office Building,(202) 224-5141,http://www.sanders.senate.gov/contact/,http://www.sanders.senate.gov/,Class I,S000033,,0
WA,Cantwell (D-WA),Cantwell,Maria,D,915 Second Avenue,Suite 3206,"Seattle, WA 98174",(206) 220-6400,511 Hart Senate Office Building,(202) 224-3441,http://www.cantwell.senate.gov/public/index.cfm/email-maria,http://www.cantwell.senate.gov,Class I,C000127,,0
WA,Murray (D-WA),Murray,Patty,D,2930 Wetmore Avenue,Ste. 9D,"Everett, Washington 98201",(425) 259-6515,154 Russell Senate Office Building,(202) 224-2621,http://www.murray.senate.gov/public/index.cfm/contactme,http://www.murray.senate.gov/,Class III,M001111,,0
WI,Baldwin (D-WI),Baldwin,Tammy,D,402 Graham Street,Suite 206,"Eau Claire, WI 54701-2633",(715) 832-8424,717 Hart Senate Office Building,(202) 224-5653,https://www.baldwin.senate.gov/feedback,http://www.baldwin.senate.gov/,Class I,B001230,,0
WI,Johnson (R-WI),Johnson,Ron,R,517 East Wisconsin Avenue,Suite 408,"Milwaukee, WI 53202",(414) 276-7282,328 Hart Senate Office Building,(202) 224-5323,https://www.ronjohnson.senate.gov/public/index.cfm/email-the-senator,http://www.ronjohnson.senate.gov/,Class III,J000293,,0
WV,Capito (R-WV),Capito,Shelley Moore,R,500 Virginia Street East,Suite 950,"Charleston, WV 25301",304-347-5372,172 Russell Senate Office Building,(202) 224-6472,https://www.capito.senate.gov/contact/contact-shelley,http://www.capito.senate.gov,Class II,C001047,,0
WV,Manchin (D-WV),Manchin,"Joe, III",D,900 Pennsylvania Avenue,Suite 629,"Charleston, WV 25302",304-342-5855,306 Hart Senate Office Building,(202) 224-3954,http://www.manchin.senate.gov/public/index.cfm/contact-form,http://www.manchin.senate.gov/,Class I,M001183,,0
WY,Barrasso (R-WY),Barrasso,John,R,100 East B Street,Suite 2201,"Casper, WY 82601",307-261-6413,307 Dirksen Senate Office Building,(202) 224-6441,https://www.barrasso.senate.gov/public/index.cfm/contact-form,http://www.barrasso.senate.gov,Class I,B001261,,0
WY,Enzi (R-WY),Enzi,Michael B.,R,Dick Cheney Federal Building,"100 East B Street, Suite 3201","Casper, WY 82601",(307) 261-6572,379A Russell Senate Office Building,(202) 224-3424,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi,http://www.enzi.senate.gov,Class II,E000285,,0
